bbl,st_num,st_name,sq_ft,score,grade
1002090019,138,LAFAYETTE STREET,112900,7,D
1002090034,273,CANAL STREET,29956,53,D
1002097501,42426,BROADWAY,26000,72,B
1002110018,285,WEST BROADWAY,29706,38,D
1002110029,370,CANAL STREET,160545,45,D
1002120018,52,VARICK STREET,117291,99,A
1002120045,2,YORK STREET,65283,21,D
1002127501,260,WEST BROADWAY,142000,81,B
1002127503,1,YORK STREET,90918,7,D
1002127504,50,VARICK STREET,278746,score missing,F
1002127505,11,BEACH STREET,113714,65,C
1002140001,53,BEACH STREET,30000,52,D
1002147502,145,HUDSON STREET,136472,14,D
1002147503,7,HUBERT STREET,109382,2,D
1002157502,161,HUDSON STREET,58015,56,C
1002157504,415,GREENWICH STREET,177414,4,D
1002160001,388,GREENWICH STREET,1594289,85,A
1002177501,79,LAIGHT STREET,100984,85,A
1002177503,250,WEST STREET,313991,72,B
1002177504,71,LAIGHT STREET,114622,3,D
1002180002,74,LAIGHT STREET,28016,99,A
1002180024,260,WEST STREET,61250,100,A
1002187501,92,LAIGHT STREET,194486,65,C
1002187504,415,WASHINGTON STREET,55649,48,D
1002197501,429,GREENWICH STREET,103279,63,C
1002197505,31,VESTRY STREET,34665,score missing,F
1002200031,174,HUDSON STREET,51750,74,B
1002207502,28,LAIGHT STREET,101560,30,D
1002227501,28,VESTRY STREET,61433,37,D
1002227502,195,HUDSON STREET,88496,51,D
1002227503,443,GREENWICH STREET,261896,98,A
1002237502,70,VESTRY STREET,225029,18,D
1002257501,455,GREENWICH STREET,82548,77,B
1002270028,306,WEST BROADWAY,189986,89,A
1002270052,27,GRAND STREET,55479,30,D
1002287502,311,WEST BROADWAY,170548,30,D
1002300009,329,CANAL STREET,33374,77,B
1002310014,433,BROADWAY,46217,score missing,F
1002310026,107,GRAND STREET,66532,42,D
1002310030,459,BROADWAY,29415,39,D
1002310032,455,BROADWAY,27336,69,C
1002310035,451,BROADWAY,60000,26,D
1002310036,449,BROADWAY,29000,93,A
1002320005,444,BROADWAY,34000,42,D
1002320006,446,BROADWAY,27000,100,A
1002320021,32,HOWARD STREET,30034,71,B
1002330002,9,CROSBY STREET,121165,11,D
1002330004,13,CROSBY STREET,38000,76,B
1002330017,151,GRAND STREET,26388,score missing,F
1002330026,148,LAFAYETTE STREET,129135,70,B
1002330030,22,HOWARD STREET,53200,84,B
1002340017,211,CENTRE STREET,46700,81,B
1002350001,202,CENTRE STREET,39000,99,A
1002367501,173,GRAND STREET,40413,10,D
1002367502,145,MULBERRY STREET,33671,1,D
1002370014,197,GRAND STREET,39500,score missing,F
1002370017,203,GRAND STREET,25500,score missing,F
1002377501,132,MULBERRY STREET,60508,14,D
1002380003,122,MOTT STREET,34500,3,D
1002387501,128,MOTT STREET,92559,72,B
1002387502,217,GRAND STREET,47551,28,D
1002390012,92,ELIZABETH STREET,39100,51,D
1002390020,116,BOWERY,48911,53,D
1002397501,80,ELIZABETH STREET,113956,1,D
1002430056,645,WATER STREET,251500,31,D
1002440019,605,WATER STREET,124600,31,D
1002440040,621,WATER STREET,60417,score missing,F
1002460001,275,SOUTH STREET,262875,76,B
1002470001,265,CHERRY STREET,327796,66,C
1002480015,82,RUTGERS SLIP,260000,56,C
1002480070,80,RUTGERS SLIP,83904,21,D
1002487501,225,CHERRY STREET,1451246,56,C
1002530001,100,CHERRY STREET,1396625,54,D
1002590001,604,WATER STREET,126150,31,D
1002590071,35,MONTGOMERY STREET,287175,31,D
1002630008,453,FDR DRIVE,923000,57,C
1002660065,549,GRAND STREET,41733,57,C
1002670001,305,MADISON STREET,136070,31,D
1002670010,280,HENRY STREET,25127,31,D
1002670037,371,MADISON STREET,101579,87,A
1002710057,152,HENRY STREET,37565,47,D
1002747501,48,MARKET STREET,32802,18,D
1002747502,148,MADISON STREET,74881,3,D
1002767503,31,MONROE STREET,57151,66,C
1002777501,25,MARKET STREET,61451,1,D
1002777502,45,HENRY STREET,34098,18,D
1002797502,11,EAST BROADWAY,58293,52,D
1002800052,17,CATHERINE STREET,25701,1,D
1002807501,17,EAST BROADWAY,30254,49,D
1002810001,2,EAST BROADWAY,33234,29,D
1002810006,16,EAST BROADWAY,28055,1,D
1002820003,75,EAST BROADWAY,35358,score missing,F
1002820023,95,HENRY STREET,44491,1,D
1002820031,91,EAST BROADWAY,38961,58,C
1002830018,143,HENRY STREET,81953,score missing,F
1002830024,10,RUTGERS STREET,74453,47,D
1002837502,135,DIVISION STREET,25366,score missing,F
1002837503,136,EAST BROADWAY,35708,45,D
1002840011,173,HENRY STREET,33601,1,D
1002847501,155,HENRY STREET,25974,77,B
1002847503,173,EAST BROADWAY,50673,6,D
1002847504,183,EAST BROADWAY,34618,39,D
1002857501,179,HENRY STREET,81560,16,D
1002947502,2,ALLEN STREET,38887,11,D
1003000008,50,ELDRIDGE STREET,32000,score missing,F
1003030015,91,BOWERY,48642,score missing,F
1003030025,61,CHRYSTIE STREET,40529,26,D
1003030027,55,CHRYSTIE STREET,41872,84,B
1003037502,77,BOWERY,44673,43,D
1003040021,249,GRAND STREET,26565,1,D
1003040035,75,CHRYSTIE STREET,26965,2,D
1003080016,59,ORCHARD STREET,34465,92,A
1003090022,51,LUDLOW STREET,26300,62,C
1003097501,48,ORCHARD STREET,35589,51,D
1003107503,55,HESTER STREET,27576,54,D
1003110013,357,GRAND STREET,1025341,score missing,F
1003150001,409,GRAND STREET,1054290,score missing,F
1003150045,228,EAST BROADWAY,44122,score missing,F
1003210001,570,GRAND STREET,1231250,57,C
1003310001,504,GRAND STREET,216200,90,A
1003310065,500,GRAND STREET,299510,57,C
1003310120,530,GRAND STREET,532006,57,C
1003310200,275,DELANCEY STREET,98862,57,C
1003330001,87,DELANCEY STREET,257218,10,D
1003360005,15,BIALYSTOKER PLACE,98052,75,B
1003410001,460,GRAND STREET,265181,14,D
1003410058,410,GRAND STREET,225000,1,D
1003410070,131,BROOME STREET,231417,5,D
1003410075,157,BROOME STREET,27350,score missing,F
1003420065,142,BROOME STREET,36694,100,A
1003430043,80,RIDGE STREET,121800,94,A
1003430050,203,RIVINGTON STREET,99911,57,C
1003437501,78,RIDGE STREET,56354,80,B
1003440013,195,STANTON STREET,47910,91,A
1003440017,129,RIDGE STREET,27299,score missing,F
1003447501,50,CLINTON STREET,44089,27,D
1003450017,331,EAST HOUSTON STREET,57128,score missing,F
1003450020,155,RIDGE STREET,35045,46,D
1003450048,115,PITT STREET,170100,90,A
1003450058,133,PITT STREET,98000,68,C
1003457501,154,ATTORNEY STREET,39643,58,C
1003457502,196,STANTON STREET,68396,90,A
1003460001,50,NORFOLK STREET,137909,20,D
1003460095,384,GRAND STREET,26377,3,D
1003467501,145,CLINTON STREET,280261,9,D
1003480036,150,DELANCEY STREET,48002,23,D
1003480040,90,CLINTON STREET,38498,70,B
1003500026,19,CLINTON STREET,36000,76,B
1003500069,155,ATTORNEY STREET,31455,69,C
1003507501,20,CLINTON STREET,38670,100,A
1003530052,108,NORFOLK STREET,35000,85,A
1003530057,131,RIVINGTON STREET,25650,58,C
1003530069,99,SUFFOLK STREET,26600,score missing,F
1003537501,103,NORFOLK STREET,50563,17,D
1003537503,115,NORFOLK STREET,34261,58,C
1003537504,100,NORFOLK STREET,55157,66,C
1003550054,255,EAST HOUSTON STREET,92697,100,A
1003720016,286,EAST 3 STREET,29940,50,D
1003720018,290,EAST 3 STREET,37767,50,D
1003720031,316,EAST 3 STREET,27496,74,B
1003720041,310,2ND STREET,131660,21,D
1003720060,280,EAST 2 STREET,80500,72,B
1003730023,340,EAST 4 STREET,27042,score missing,F
1003730051,299,EAST 3 STREET,41244,91,A
1003730064,279,EAST 3 STREET,26793,16,D
1003740025,734,EAST 5 STREET,49792,score missing,F
1003740043,353,EAST 4 STREET,27226,39,D
1003757501,71,AVENUE D,34607,14,D
1003760058,711,EAST 6 STREET,65526,69,C
1003767501,79,AVENUE D,121049,88,A
1003770026,390,EAST 8 STREET,30018,21,D
1003770030,394,EAST 8 STREET,28906,79,B
1003777503,101,AVENUE D,107740,52,D
1003780010,710,EAST 9 STREET,34728,42,D
1003787501,399,EAST 8 STREET,25615,24,D
1003790027,436,EAST 10 STREET,92470,36,D
1003790053,717,EAST 9 STREET,44876,43,D
1003820100,162,AVENUE C,553660,55,C
1003847503,310,EAST HOUSTON STREET,42752,3,D
1003850005,27,AVENUE B,32225,2,D
1003850014,222,EAST 3 STREET,49923,54,D
1003850019,228,EAST 3 STREET,31025,67,C
1003850049,242,EAST 2 STREET,34821,68,C
1003857501,254,EAST 2 STREET,51716,63,C
1003860015,258,EAST 4 STREET,43902,score missing,F
1003870157,619,EAST 5 STREET,25200,75,B
1003900005,121,AVENUE B,28564,48,D
1003900011,308,EAST 8 STREET,97000,score missing,F
1003900024,334,EAST 8 STREET,29232,36,D
1003907502,342,EAST 8 STREET,73359,2,D
1003920010,350,EAST 10 STREET,93420,score missing,F
1003920027,384,EAST 10 STREET,49799,33,D
1003920048,627,EAST 9 STREET,43871,61,C
1003927501,143,AVENUE B,89531,83,B
1003930001,159,AVENUE B,31267,score missing,F
1003930014,610,EAST 11 STREET,30750,62,C
1003930056,355,EAST 10 STREET,38520,32,D
1003937501,648,EAST 11 STREET,38020,19,D
1003947506,189,AVENUE C,32113,18,D
1003947507,183,AVENUE B,49728,99,A
1003950009,606,EAST 13 STREET,127950,100,A
1003950012,620,EAST 13 STREET,100860,13,D
1003970012,157,EAST 2 STREET,27500,99,A
1003970029,195,EAST 2 STREET,33336,100,A
1003977503,250,EAST HOUSTON STREET,169482,9,D
1003980008,160,EAST 3 STREET,55947,84,B
1003980018,176,EAST 3 STREET,43520,44,D
1003980035,24,AVENUE B,77000,13,D
1003990001,42,AVENUE A,28633,4,D
1003990011,206,EAST 4 STREET,39246,60,C
1003990044,185,EAST 3 STREET,35550,94,A
1004000001,58,AVENUE A,79956,70,B
